lanzamiento,nivelEducativo,desempeño,nivelDelCurso,estado
Winter,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Spring,Bajo,buen,Advanced,No Deserto
Fall,Bajo,mal,Intermediate,No Deserto
Spring,Bajo,mal,Intermediate,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Summer,Bajo,buen,Intermediate,No Deserto
Spring,Bajo,mal,Advanced,No Deserto
Fall,Bajo,mal,Advanced,No Deserto
Winter,Bajo,mal,Advanced,No Deserto
Summer,Bajo,mal,Intermediate,No Deserto
Winter,Bajo,buen,Basic,No Deserto
Fall,Bajo,mal,Basic,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Fall,Muy Alto,mal,Advanced,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,buen,Intermediate,No Deserto
Fall,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,buen,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,buen,Intermediate,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Spring,Muy Alto,buen,Advanced,No Deserto
Summer,Muy Alto,buen,Advanced,No Deserto
Winter,Muy Alto,buen,Advanced,No Deserto
Spring,Muy Alto,muy buen,Basic,No Deserto
Summer,Muy Alto,muy buen,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Summer,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Intermediate,No Deserto
Spring,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Basic,No Deserto
Winter,Muy Alto,mal,Intermediate,No Deserto
Summer,Muy Alto,buen,Intermediate,No Deserto
Fall,Muy Alto,mal,Intermediate,No Deserto
Fall,Muy Alto,buen,Advanced,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Basic,No Deserto
Winter,Alto,buen,Advanced,No Deserto
Fall,Alto,buen,Advanced,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Fall,Alto,buen,Intermediate,No Deserto
Fall,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
Fall,Alto,mal,Advanced,No Deserto
Spring,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Fall,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
Fall,Alto,buen,Advanced,No Deserto
Fall,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Fall,Alto,mal,Advanced,No Deserto
Winter,Alto,buen,Intermediate,No Deserto
Spring,Alto,buen,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Intermediate,No Deserto
